codmat|descripcion|marca|codfam|subfam|Estado|undbase|und A|und B|und C 
000812|BOLIGRAFO P.M KILOMETRICO NEGRO|P.MATE|001|018|D|UNI|DOC|CTO|GZA
000822|BOLIGRAFO NVO NARANJA NEGRO|NOVO|001|018|D|UNI|||
000825|BOLIGRAFO NVO CRISTAL NEGRO|NOVO|001|018|D|UNI|||
000832|BOLIGRAFO F.C FIESTA AZUL|FABER C.|001|018|D|UNI|DOC|CTO|O/C100
000835|BOLIGRAFO NVO 083 P/MEDIA AZUL|NOVO|001|018|D|UNI|DOC|O/D12|CTO
000855|BOLIGRAFO NVO BORRANOVO AZUL|NOVO|001|018|D|UNI|||
000856|BOLIGRAFO NVO BORRANOVO ROJO|NOVO|001|018|D|UNI|||
000865|BOLIGRAFO PLT BP-SF SURT|PILOT|001|018|D|UNI|DOC|CTO|GZA
000900|BOLIGRAFO NVO 077 P/FINA SURT|NOVO|001|018|D|UNI|||
001096|BORRADOR F.C JOHANN FABER  7044-30|FABER C.|001|020|D|UNI|CJA30||
001098|BORRADOR STD 526-50 (CJAX20)|STAEDTLER|001|020|D|UNI|CJA||
001101|BORRADOR STD 526-50 (CJAX20)|STAEDTLER|001|020|D|UNI|CJA||
001106|BORRADOR MOS ED-01A EX-ERROR|MOSU|001|020|D|UNI|CJA30||
001117|BORRADOR PLT EE-02|PILOT|001|020|D|CJA|||
001162|BORRADOR LFR BR-40|LAUFER|001|020|D|UNI|CJA40||
001163|BORRADOR LFR BR-80|LAUFER|001|020|D|UNI|CJA80||
001164|BORRADOR LFR PLAST COMBI 720 (CJAX20)|LAUFER|001|020|D|UNI|CJA20||
001165|BORRADOR LFR PLAST COMBI 740 (CJAX40)|LAUFER|001|020|D|UNI|CJA40||
001166|BORRADOR LFR PLAST SOFT 0121 (CJAX20)|LAUFER|001|020|D|UNI|CJA20||
001167|BORRADOR LAY PAPA ARTGUM|LAYCONSA|001|020|D|UNI|CJA24||
001168|BORRADOR LAY PAPA STARGUM (CJAX12)|LAYCONSA|001|020|D|UNI|CJA12||
001175|BORRADOR PLK WS-30|PELIKAN|001|020|D|UNI|CJA30||
001184|BORRADOR VNF VF-80|VINIFLEX|001|020|D|UNI|CJA80||
001185|BORRADOR LFR PLAST 440 (CJAX40)|LAUFER|001|020|D|UNI|CJA40||
001192|CALENDARIO CHICO DE MADERA              |S/M|001|025|D|UNI|DOC||
001228|CARTUCHERA BATMAN|S/M|001|030|D|UNI|DOC|O/D12|GZA
001284|CINTA ADHES. PLUS  1/2 X 72 YD|PEGAFAN|001|033|D|UNI|DOC|PAC72|
001306|CINTA ADHES. CRISTAL  1/2 X 72 YD|PEGAFAN|001|033|D|UNI|DOC|O/D12|PAC72
001329|CINTA ADHES. PAPEL KRAFT  2 X 120 MT    |S/M|001|033|D|UNI|RLL||
001337|CINTA ADHES. TRANSP.  1/2 X 2.5 YD|PEGAFAN|001|033|D|UNI|PAQ||
001400|CLIPS  # 3 CJT X 100|IKON|001|036|D|UNI|DOC|CTO|
001401|CLIPS  # 2 1/2|IKON|001|036|D|UNI|CTO|MLL|
001402|CLIPS  MARIPOSA|S/M|001|036|D|UNI|DOC||
001403|CLIPS  CJT X 100|WINGO|001|036|D|CJA|MLL10|CTO|
001404|CLIPS  MARIPOSA CJT X 50|WINGO|001|036|D|UNI|DOC|CTO|
001405|CLIPS  MARIPOSA GIGANTE CJT X 12|WINGO|001|036|D|UNI|DOC|CTO|
001408|CLIPS  DOUBLE  2 1/2|.|001|036|D|UNI|DOC||
001410|CLIPS  # 3 CJT X 100|KRAUSE|001|036|D|UNI|MLL10|CTO|
001434|COLORES  LAY ECOLOGICOS X 12 CORTOS|LAYCONSA|001|038|D|CJA|UNI|DOC|GZA
001452|COLORES  F.C EXAGONAL X  6 CORT        1|FABER C.|001|038|D|UNI|DOC|O/D12|GZA
001453|COLORES  F.C X 12 CORT|FABER C.|001|038|D|CJA|UNI|DOC|GZA
001539|CORRECTOR  RADEX PAPEL CJT X 20|KORES|001|042|D|UNI|DOC|CJA50|
001590|CRAYONES  LADRILLOS DIDACTICOS X 8|S/M|001|310|D|UNI|DOC|O/D12|CTO
001599|CRAYONES  F.C DELGADO X 12  1560|FABER C.|001|045|D|UNI|DOC|GZA|
001600|CRAYONES  F.C JUMBO X 12 LARG. 1550|FABER C.|001|045|D|UNI|DOC|GZA|
001601|CRAYONES  F.C JUMBO X 15 CORT. 1540|FABER C.|001|045|D|UNI|DOC|GZA|
001639|CHINCHES  DORADO    CJT X 100|GURA|001|046|D|UNI|MLL10|CJA50|
001641|CHINCHES  BLANCO    CJT X 100|GURA|001|046|D|UNI|MLL10|CJA50|
001642|CHINCHES  CELESTE   CJT X 100|GURA|001|046|D|UNI|MLL10|CJA50|
001643|CHINCHES  ROJO      CJT X 100|GURA|001|046|D|UNI|MLL10|CJA50|
001644|CHINCHES  NEGRO     CJT X 100|GURA|001|046|D|UNI|MLL10|CJA50|
001645|CHINCHES  VERDE     CJT X 100|GURA|001|046|D|UNI|MLL10|CJA50|
001646|CHINCHES  AMARILLO  CJT X 100|GURA|001|046|D|UNI|MLL10|CJA50|
001648|CHINCHES  NIQUELADO CJT X 100|GURA|001|046|D|CJA|MLL10||
001760|FORRO  T/CARTA AZUL|VINIFAN|001|063|D|UNI|DOC|O/D12|CTO
001763|FORRO  T/OF. CRISTAL|PELIKAN|001|063|D|UNI|DOC|CTO|
001764|FORRO  T/CARTA CRISTAL|PELIKAN|001|063|D|UNI|DOC|CTO|
001765|FORRO  JUNIOR CRISTAL|PELIKAN|001|063|D|UNI|DOC|CTO|
001768|FORRO  T/OF. RUBI|VINIFAN|001|063|D|UNI|DOC|O/D12|CTO
001776|FORRO  T/OF. ULTRAFAN CRISTAL|VINIFAN|001|063|D|UNI|DOC|CTO|MLL
001777|FORRO  T/CARTA ULTRAFAN CRISTAL|ULTRAFAN|001|063|D|UNI|DOC|CTO|MLL
001778|FORRO  ULTRAFANCITO CRISTAL|VINIFAN|001|063|D|UNI|DOC|CTO|MLL
001801|SILLA KINDER ESCOLAR|BASA|001|067|D|UNI|DOC||
001859|ETIQUETAS  1X3 NJA F/CONTINUO/COLUM|S/M|001|074|D|UNI|||
001860|ETIQUETAS  ADHESIVAS DR-24761|.|001|074|D|UNI|CTO||
001916|FASTENER  T/GUSANO METAL C X 25|ARTESCO|001|080|D|UNI|CJA||
001942|FOLDER  T/TRANSP. T/OF C/FASTENER|ARTESCO|001|084|D|UNI|DOC|CTO|MLL
001948|FOLDER  T/TRANSP. T/A-4 C/FASTENER|ARTESCO|001|084|D|UNI|DOC|CTO|O/C100
001950|FOLDER  FANTASIA T/CTA 93               |S/M|001|084|D|UNI|DOC|CTO|O/C100
001957|FOLDER T/TRANSP. T/OF|DITO|001|084|D|UNI|DOC|CTO|
001967|FOLDER  FANTASIA T/OF|ARTESCO|001|084|D|UNI|DOC|CTO|MLL
001969|FOLDER  FANTASIA T/OF|OMNI|001|084|D|UNI|DOC|CTO|MLL
001970|VINIFILE  PRESENTACION T/A4|VINIFAN|001|084|D|UNI|||
001971|VINIFILE  PRESENTACION T/OF|VINIFAN|001|084|D|UNI|||
001972|VINIFILE  ORDENADOR T/A4|VINIFAN|001|084|D|UNI|||
001973|VINIFILE  ORDENADOR T/OF|VINIFAN|001|084|D|UNI|||
001974|FOLDER  FANTASIA T/OF CHIPS|ARTESCO|001|084|D|UNI|DOC|CTO|MLL
002024|FOLDER  FANTASIA T/CTA CHIPS|ARTESCO|001|084|D|UNI|||
002027|GRAPAS     10 X 1000|IKON|001|090|D|UNI|DOC|CTO|O/C100
002057|GRAPAS     10 X 5000|RAPID|001|090|D|CJA|UNI|DOC|
002073|FIGURAS  MICROPOROSO BALDE ABC/NUM|EXPOFLEX|001|091|D|UNI|DOC||
002088|IMAN PILOT P/PIZ.ACR.X16 15MM.WBG15|PILOT|001|095|D|UNI|DOC||
002106|LAPIZ  LAY BICOLOR GIGANTE|LAYCONSA|001|100|D|UNI|DOC|GZA|O/G144
002107|LAPIZ  CHI C/BORR GRAFITO|CHINO|001|100|D|UNI|DOC|GZA|CJN4320
002149|LAPIZ  CHI C/BORR GRAFITO|CHINO|001|100|D|UNI|||
002173|LIGUILLAS  N§ 8  125 GR|LAUFER|001|112|D|UNI|DOC||
002181|LONCHERA  INFANTIL DECORADA|BASA|001|116|D|UNI|||
002218|MANECILLA  45 MM NIQUELADO|NK|001|122|D|UNI|DOC||
002366|PEGAMENTO  COLA  60 CC|DAVID|001|315|D|UNI|DOC|O/D12|GZA
002373|PEGAMENTO  COLA  23 CC                  |PEGAFAN|001|315|D|UNI|DOC|O/D12|GZA
002376|PEGAMENTO   1/4 KG.|PLASTICOLA|001|148|D|UNI|DOC|O/D12|CTO
002381|PEGAMENTO  INSTANTANEO 10  MINUTOS      |SOLDIMIX|001|316|D|UNI|DOC||
002413|PEGAMENTO  COLA  23 CC                  |LUCHO'S|001|315|D|UNI|DOC|GZA|CJN480
002416|PEGAMENTO  COLA  50 CC                  |LUCHO'S|001|315|D|UNI|DOC|GZA|CJN224
002417|PEGAMENTO  COLA 220 GR                  |LUCHO'S|001|315|D|UNI|DOC|CJN84|GZA
002452|PEGAMENTO  COLA 250 GR|LUCHO'S|001|315|D|UNI|||
002593|PLANTILLA  LETRAS  20MM                 |ARTESCO|001|164|D|UNI|DOC|CTO|O/C100
002613|PLASTILINA  DISPLAY X 10|TRIOPLAST|001|166|D|UNI|DOC|O/D12|CTO
002693|PLUMON NVO RITMO ESTUCHE X 10|NOVO|001|170|D|UNI|DOC|O/D12|CTO
002728|PLUMON NVO TEXT MARKER + FINEPEN        |NOVO|001|321|D|UNI|DOC|O/D12|CTO
002736|PLUMON CRC JUMBO SURT.|CARIOCA|001|170|D|UNI|DOC|CTO|
002764|PLUMON PLT MARCADOR DIB.T/LAPIZ X 24    |PILOT|001|319|D|UNI|DOC||
002793|PLUMON F.C BLISTER C/MUNEC P/ARMAR      |FABER C.|001|319|D|UNI|DOC|CTO|P/P100
002797|PLUMON  AIRLOC|GROW|001|319|D|UNI|DOC|O/D12|CTO
002799|PLUMON F.C  54 INDELEBLE P/GZA. BIZEL. C|FABER C.|001|319|D|UNI|DOC|CTO|
002936|PORTA LAPICERO DE MADERA CON CALENDARIO |S/M|001|172|D|UNI|DOC||
002963|PORTA PAPEL DE COLORES|FISHER PRICE|001|174|D|UNI|||
002964|PORTA PAPEL STANDARD|FISHER PRICE|001|174|D|UNI|||
003042|PORTA NOTA ACRILICO X 1000              |KOALA|001|178|D|DOC|UNI0.080|DOC|
003047|REGLA   15 CM. BICOLOR|ARTESCO|001|180|D|UNI|||
003073|REGLA  TRIDIMENCIONAL 30 CM             |S/M|001|180|D|UNI|DOC|O/D12|CTO
003148|STENCIL  ELECTRONICO|GESTENER|001|190|D|UNI|CJA|DOC|CTO
003151|TABLA DE ELEMENTOS QUIMICOS             |EMENTOS Q|001|195|D|UNI|CTO||
003167|DIPLOMA  CON Y SIN LEYENDA SURT.        |S/M|001|199|D|UNI|DOC||
003168|DIPLOMA  CON LEYENDA                    |S/M|001|199|D|UNI|DOC||
003171|TAJADOR  CHINO CJA X 24|BEE|001|204|D|UNI|CJA24|GZA|
003180|TAJADOR CORAZON C/CORDON|FABER C.|001|204|D|UNI|||
003187|TAJADOR C/DEPOSITO CJA X 25|FABER C.|001|204|D|UNI|CJA25||
003189|TAJADOR METAL C/REPUESTO 20/202|S/M|001|204|A|UNI|CJA20||
003196|TAJADOR CORAZON|FABER C.|001|204|D|UNI|CJA20|CTO|
003199|TAJADOR BRUJULA|FABER C.|001|204|D|UNI|CJA20|CTO|
003200|TAJADOR TV CJA X 20|FABER C.|001|204|D|UNI|CJA20|CTO|
003201|TAJADOR LUPA CJA X 20|FABER C.|001|204|D|UNI|CJA20|CTO|
003211|TAJADOR  CHINO|BEE|001|204|D|UNI|CJA24||
003215|TAJADOR BRUJULA|FABER C.|001|204|A|UNI|CJA20||
003225|TAPA S/PLAST. P/ANILL T/OF COLOR(CARTON)|S/M|001|205|D|UNI|CTO||
003284|TEMPERA  TEK EST X 7|TEKNO|001|322|D|UNI|DOC|O/D12|CTO
003286|TEMPERA  DAV EST X 6                    |DAVID|001|322|D|UNI|DOC|CTO|O/C100
003330|TINTA  MIMEOGRAFO                       |INSTESA|001|236|D|UNI|TUB||
003331|TINTA  MIMEOGRAFO                       |NIBA|001|236|D|UNI|TUB||
003334|TINTA  NUMERADORA ROJO|IBIS|001|236|D|UNI|||
003357|TINTA  INDELEBLE C/ACCES.               |PILOT|001|236|D|UNI|DOC|UNI13|
003374|TIZA  BLANCA C X 100|IBIS|001|240|D|UNI|||
003375|TIZA  COLORES C X 100                   |IBIS|001|240|D|UNI|CJA|PAQ50|
003376|TIZA  BLANCA C X  50                    |YOLI|001|240|D|UNI|DOC|CTO|
003377|TIZA  COLORES C X  50                   |YOLI|001|240|D|UNI|DOC|CTO|
003380|TIZA  BLANCA C X  12                    |YURAC|001|240|D|UNI|DOC|PAQ100|
003381|TIZA  COLORES C X  12|YURAC|001|240|D|UNI|DOC|PAQ100|
003383|TIZA  BLANCA C X 100                    |ANDINA|001|240|D|UNI|DOC|O/D12|
003384|TIZA  COLORES                           |ANDINA|001|240|D|UNI|DOC||
003387|TIZA  BLANCA C X  10                    |OMYC|001|240|D|CJA|UNI|DOC|
003392|TIZA  COLORES CK X 12|YOLI|001|240|D|UNI|DOC|CTO|
003397|TIZA  PASTEL C X 12                     |PENTEL|001|240|D|DOC|UNI0.080|DOC|
003398|TIZA  PASTEL C X 16|YOLI|001|240|D|DOC|UNI0.080|DOC|
003425|VARILLAS                                ||001|250|D|UNI|CTO||
003428|MAQUINA SELLADORA DE BOLSA DE 30 CM.|.|009|004|D|UNI|||
003454|BANDERINES ONIX|ONIX|001|259|D|UNI|DOC||
003462|POSTALES DSP X 6 REY L.                 |PELIKAN|001|261|D|UNI|DOC||
003465|SUPER BOLSON (70 PIEZAS) #629           |.|001|261|D|UNI|DOC||
003487|HOJEADOR # 1 DEDAL # 7119|LAUFER|001|264|D|UNI|||
003488|HOJEADOR # 2 DEDAL # 7219|LAUFER|001|264|D|UNI|||
003489|HOJEADOR # 3 DEDAL # 7319|LAUFER|001|264|D|UNI|||
003490|HOJEADOR # 4 DEDAL # 7419|LAUFER|001|264|D|UNI|||
003491|HOJEADOR # 5 DEDAL # 7519|LAUFER|001|264|D|UNI|||
003498|LAPIZ F.C PITT SEPIA OSC.                  1|FABER C.|001|324|D|UNI|DOC||
003499|LAPICES F.C PITT SANGUINA GRASO 112920   F.C|FABER C.|001|324|D|UNI|DOC||
003500|LAPIZ F.C PITT NEGRO BLANDO 117403|FABER C.|001|324|D|UNI|DOC||
003501|LAPIZ F.C CARBON PITT NO GRASO 112993 G|FABER C.|001|324|D|UNI|DOC||
003502|LAPIZ F.C PITT NEGRO MEDIO 117400|FABER C.|001|324|D|UNI|DOC||
003504|LAPIZ F.C PITT SEPIA CLARO MED 112277|FABER C.|001|324|D|UNI|DOC||
003505|LAPIZ F.C DIB ARTIST SANGUINA 2908         1|FABER C.|001|324|D|UNI|DOC||
003506|LAPIZ F.C. DIB BCO. BLANDO                  1|FABER C.|001|324|D|UNI|DOC||
003507|LAPIZ F.C. TIZA PITT BLANCO MEDIA 112201|FABER C.|001|324|D|UNI|DOC||
003508|LAPIZ F.C TIZA PITT NEGRA DURA # 117411|FABER C.|001|324|D|UNI|DOC||
003509|LAPIZ F.C CARBON DURO                      1|FABER C.|001|324|D|UNI|DOC||
003510|LAPIZ  F.C CARBON NO GRASA MEDIA # 112995|FABER C.|001|324|D|UNI|DOC||UNI
003511|LAPIZ  COLOR BRITE                      |FABER C.|001|324|D|UNI|DOC|GZA|
003513|LAPIZ  COLOR POLICROMO ORO # 9201-250   |FABER C.|001|324|D|UNI|DOC||
003516|LAPIZ 9000 VARIOS                      1|FABER C.|001|324|D|UNI|DOC||
003537|LAPIZ POLYCHR X12 9201   252|FABER C.|001|324|A|UNI|CJA||UNI
003538|LAPIZ  F.C POLYCHR X12 9201  117|FABER C.|001|324|D|UNI|CJA||
003539|LAPIZ POLYCHR X12  9201  184|FABER C.|001|324|A|UNI|CJA||UNI
003542|LAPIZ POLYCHR X12  9201   179|FABER C.  |001|324|A|UNI|CJA||UNI
003545|LAPIZ  F.C POLYCHR X12 OCR 9201  185|FABER C.|001|324|D|UNI|CJA||
003560|LAPIZ ALBRECH          8200|FABER C.|001|324|A|UNI|DOC||UNI
003562|LAPIZ ALBRECH          8200|FABER C.|001|324|D|UNI|DOC||
003563|EST. LAPIZ 9000 - EXH X 288           #1|FABER C.|001|267|D|UNI|DOC||
003564|EST. LAPIZ 9000 DISENO X 12           #1|FABER C.|001|267|D|UNI|EST||
003565|EST. LAPIZ 9000 BELLAS ARTES X 12     #1|FABER C.|001|267|D|UNI|EST||
003571|EST. LAP. GRAFITO X 18 PZAS           #1|FABER C.|001|268|D|UNI|EST||
003572|EST. LAP. PITT CHARCOAL X 22 PZAS     #1|FABER C.|001|268|D|UNI|EST||
003573|EST. LAP. PITT X 12 PZAS              #1|FABER C.|001|268|D|UNI|EST||
003574|EST. LAP. PITT X 25 PZAS              #1|FABER C.|001|268|D|UNI|EST||
003575|EST. LAP. COLORES POLICROMO 52 PZAS   #1|FABER C.|001|268|D|UNI|EST||
003576|EST. LAP. COLORES ACUARELABLE 52 PZAS #1|FABER C.|001|268|D|UNI|EST||
003577|EST. TIZA PASTEL POLICHROMO X 52 PZAS #1|FABER C.|001|268|D|UNI|EST||
003597|TIZA PITT SEPIA ROMANO                 1|FABER C.|001|272|D|UNI|DOC||
003598|TIZA PITT SANGUINA                     1|FABER C.|001|272|D|UNI|DOC||
003599|TIZA PITT BLANCA BLANDA                1|FABER C.|001|272|D|UNI|DOC||
003600|TIZA PITT NEGRA                        1|FABER C.|001|272|D|UNI|DOC||
003601|TIZA PITT NEGRA BLANDA                 1|FABER C.|001|272|D|UNI|DOC||
003602|TIZA CARBON PITT EXTRA SUAVE           1|FABER C.|001|272|D|UNI|DOC||
003603|TIZA CARBON SUAVE                      1|FABER C.|001|272|D|UNI|DOC||
003606|TIZA PASTEL POLICROMO PLATA # 9286-251  |FABER C.|001|272|D|UNI|DOC||
003607|TIZA PASTEL POLICROMO COBRE # 9286-252|FABER C.|001|272|D|UNI|DOC||
003608|TIZA PASTEL POLICHRO OS X12  ABER       |FABER C.|001|272|D|UNI|CTO||
003611|T                                       ||001|272|D|UNI|DOC||
003635|LAPIZ GRAFITO PURO 3BCJA X12           1|FABER C.|001|324|D|UNI|DOC||
003664|BLOCK        50 HJ AEREO|VENUS|002|001|D|UNI|DOC|CTO|
003667|BLOCK OFICIO 50 HJ RAYADO               |ATLAS|002|001|D|UNI|DOC|CTO|
003670|BLOCK ESCOLAR 50HJ RAYADO C/M (BOND)|STANDFORD|010|001|D|UNI|DOC|CTO|
003671|BLOCK ESCOLAR 50HJ CUADRI C/M (BOND)|STANDFORD|010|001|D|UNI|DOC|CTO|
003672|BLOCK OFICIO 50 HJ RAYADO               |CAMPER|002|001|D|UNI|DOC|CTO|
003673|BLOCK OFICIO 50 HJ CUADRI               |CAMPER|002|001|D|UNI|DOC|CTO|
003675|BLOCK CARTA  50 HJ CUADRI               |CAMPER|002|001|D|UNI|DOC|CTO|
003677|BLOCK ESCOLAR      RAYADO|APC|010|001|D|UNI|DOC|CTO|MLL
003678|BLOCK ESCOLAR      CUADRI|APC|010|001|D|UNI|DOC|CTO|MLL
003681|BLOCK OFICIO 50 HJ RAYADO|LORO      |002|001|D|UNI|DOC|CTO|
003682|BLOCK OFICIO 50 HJ CUADRI|LORO|002|001|D|UNI|DOC|CTO|
003683|BLOCK CARTA  50HJ RAYADO|LORO|002|001|D|UNI|DOC|CTO|
003684|BLOCK CARTA 50HJ CUADRI|LORO|002|001|D|UNI|DOC|CTO|
003689|BLOCK OFICIO 50HJ RAYADO|PATRIA|010|001|D|UNI|DOC|CTO|
003690|BLOCK ESCOL        RAYADO               |LORO|002|001|D|UNI|DOC|CTO|
003691|BLOCK ESCOL  50 HJ                      |IMPORTADO|002|001|D|UNI|CTO|O/C100|
003692|BLOCK SKETCH BOOK                       |JESUS|002|001|D|UNI|DOC|O/D12|CTO
003693|BLOCK SKETCH BOOK|TITO      |002|001|D|UNI|DOC|O/D12|CTO
003694|BLOCK OFICIO 50 HJ CUADRI               |UNIVERSAL|002|001|D|UNI|DOC|CTO|
003695|BLOCK SKETCH BOOK                       |UNIVERSAL|002|001|D|UNI|DOC|CTO|
003696|BLOCK   A-4  50 HJ RAYADO               |PATRIA|002|001|D|UNI|DOC|CTO|
003697|BLOCK   A-4  50 HJ CUADRI               |PATRIA|002|001|D|UNI|DOC|CTO|
003698|BLOCK ESCOL  50 HJ|ATLAS|002|001|D|UNI|CTO||
003703|BLOCK CARTA 100 HJ RAYADO|S/M|010|001|D|UNI|DOC|CTO|
003704|BLOCK CARTA  5O HJ CUADRI               |S/M|002|001|D|UNI|DOC|O/D12|CTO
003705|BLOCK SKETCH BOOK|S/M|002|001|D|UNI|DOC||
003707|BLOCK OFICIO 50 HJ CUADRI  S/M|JUSTUS|002|001|D|UNI|DOC|CTO|
003708|BLOCK CARTA 50HJ RAYADO C/M|JUSTUS    |002|001|D|UNI|DOC|CTO|
003709|BLOCK CARTA 50HJ CUADRI C/M|JUSTUS|002|001|A|UNI|DOC|CTO|
003710|BLOCK SKETCH BOOK                       |SIMPSON|002|001|D|UNI|DOC|O/D12|CTO
003711|BLOCK SKETCH BOOK|HAPPY COLOR|010|001|D|UNI|DOC|CTO|
003713|BLOCK   A-4  50 HJ CUADRI               |S/M|002|001|D|UNI|DOC|CTO|
003714|BLOCK LEGAL        PAD                  |S/M|002|001|D|UNI|DOC|CTO|
003716|BLOCK   A-4  50 HJ CUADRI  BOND         |S/M|002|001|D|UNI|DOC|CTO|
003717|BLOCK   A-4  50 HJ RAYADO               |S/M|002|001|D|UNI|DOC|CTO|
003721|BLOCK CARTA  50 HJ CUADRI               |ATLAS|002|001|D|UNI|DOC|CTO|
003722|BLOCK OFICIO 50 HJ CUADRI (ESPIRAL)|ATLAS|002|001|D|UNI|DOC|CTO|
003723|BLOCK CARTA  50 HJ CUADRI               |JEAN BOOK|002|001|D|UNI|DOC|CTO|
003725|BLOCK ESCOLAR 60HJ RAYADO (PERIODICO)|STANDFORD|010|001|D|UNI|DOC|CTO|
003726|BLOCK ESCOLAR 60HJ CUADRI   (PERIODICO)|STANDFORD|010|001|D|UNI|DOC|CTO|
003727|BLOCK OFICIO 50HJ RAYADO C/M|JUSTUS    |002|001|A|UNI|DOC|CTO|
003728|BLOCK OFICIO 50HJ CUADRI C/M|JUSTUS|002|001|A|UNI|DOC|CTO|
003729|BLOCK ESCOLAR 48HJ RAYADO C/M|JUSTUS|002|001|D|UNI|DOC|CTO|
003730|BLOCK ESCOLAR 48HJ CUADRI  C/M|JUSTUS|002|001|D|UNI|DOC|CTO|
003731|BLOCK        50 HJ AEREO                |DELPHIN|002|001|D|UNI|DOC|CTO|
003732|BLOCK OFICIO 50 HJ T/RENGL C/M          |STANDFORD|010|001|D|UNI|DOC0.120|UNI|CTO
003734|CUAD ESPIRAL TAQUIGRAFIA (BLOCK)        |CAMPER|002|001|D|UNI|DOC|CTO|
003735|BLOCK TAQUIGRAFIA 70HJ|LORO|002|001|A|UNI|DOC|CTO|
003736|BLOCK TAQUIGRAFIA|SURCO|002|001|D|UNI|DOC|CTO|
003738|BLOCK TAQUIGRAFIA 50HJ|NORMA|002|001|A|UNI|DOC|CTO|
003743|CARTON DUPLEX 350 GR  70X100 KRAFT|CARRIER|002|003|D|CTO|RMA||
003744|CARTON DUPLEX 350 GR 100X 70 KRAFT|CARRIER|002|003|D|CTO|RMA|MLL10|
003745|CARTON DUPLEX 350 GR  42X100|CARRIER|002|003|D|CTO|RMA||
003746|CARTON DUPLEX 350 GR  60X115|CARRIER|002|003|D|CTO|RMA||
003748|CARTON TRIPLEX 250 GR 100X 70           |S/M|002|003|D|UNI|CTO||
003753|CARTON DUPLEX 350 GR  60X115.8|CARRIER|002|003|D|CTO|UNI0.010||
003754|CARTON DUPLEX 350 GR  71X115.8|CARRIER|002|003|D|CTO|UNI0.010||
003757|CARTON DUPLEX 350 GR  81X115.8|CARRIER|002|003|D|CTO|RMA||
003758|CARTON DUPLEX 350 GR  70X115.8|CARRIER|002|003|D|CTO|RMA||
003759|CARTON DUPLEX 350 GR 100X115.8|CARRIER|002|003|D|CTO|UNI0.010||
003776|CARTON DUPLEX 360 GR  71X115 (CAL 18)|CARRIER|002|003|D|CTO|RMA||
003777|CARTON DUPLEX 360 GR  45X 90 {CAL 18}|CARRIER|002|003|D|CTO|RMA||
003779|CARTULINA DUPLEX 350 GR 110X115|CARRIER|002|003|D|CTO|RMA||
003785|CARTULINA DUPLEX 350 GR 100X 70|PARAMONGA|002|003|D|CTO|||
003787|CARTON DUPLEX 450 GR 100X 70            |PARAMONGA|002|003|D|CTO|RMA||
003799|CARTON DUPLEX 250 GR 100X 70 ESTUCADO   |PONDEROSA|002|003|D|CTO|RMA||
003800|CARTON DUPLEX 320 GR 100X 70 ESTUCADO   |PONDEROSA|002|003|D|CTO|RMA||
003803|CARTON DUPLEX 250 GR 100X 70 ESTUCADO|FRONTERA|002|003|D|CTO|RMA||
